,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
28,3/19/2023,15:00,Ligue 1,Matchweek 28,Sun,Home,D,2,2,Brest,1.1,1.3,49,9012,Adil Rami,4/3/2003,Florent Batta,Match Report,,15,5,17.9,0,0,0,2023,Troyes
29,4/1/2023,17:00,Ligue 1,Matchweek 29,Sat,Away,L,0,1,Auxerre,1.5,1.1,62,16512,Adil Rami,4/3/2003,Jérôme Brisard,Match Report,,14,1,19.8,0,0,0,2023,Troyes
30,4/9/2023,15:00,Ligue 1,Matchweek 30,Sun,Home,L,0,2,Clermont Foot,0.4,1.3,43,7777,Adil Rami,4/3/2003,Jeremy Stinat,Match Report,,9,3,20.7,0,0,0,2023,Troyes
31,4/16/2023,20:45,Ligue 1,Matchweek 31,Sun,Away,L,1,3,Marseille,0.4,3.7,29,63486,Adil Rami,4/3/2003,Benoît Millot,Match Report,,4,2,17.6,0,0,0,2023,Troyes
32,4/23/2023,15:00,Ligue 1,Matchweek 32,Sun,Away,D,2,2,Nantes,1.8,1.7,47,34082,Adil Rami,4/3/2003,Jérémie Pignard,Match Report,,8,3,15.1,0,1,1,2023,Troyes
33,4/30/2023,15:00,Ligue 1,Matchweek 33,Sun,Home,L,0,1,Nice,0.7,3.3,36,8399,Adil Rami,4/3/2003,Eric Wattellier,Match Report,,9,6,17.6,1,0,0,2023,Troyes
34,5/7/2023,20:45,Ligue 1,Matchweek 34,Sun,Home,L,1,3,Paris S-G,0.7,4.1,40,18890,Adil Rami,4/3/2003,Ruddy Buquet,Match Report,,7,2,13,0,0,0,2023,Troyes
35,5/14/2023,15:00,Ligue 1,Matchweek 35,Sun,Away,L,0,4,Rennes,0.4,3.9,34,27836,Adil Rami,4/3/2003,Stéphanie Frappart,Match Report,,4,0,16,0,0,0,2023,Troyes
36,5/21/2023,15:00,Ligue 1,Matchweek 36,Sun,Home,D,1,1,Strasbourg,0.6,1.6,45,9834,Adil Rami,4/3/2003,Clément Turpin,Match Report,,8,3,20.1,2,0,0,2023,Troyes
37,5/27/2023,21:00,Ligue 1,Matchweek 37,Sat,Away,L,1,2,Angers,0.3,1.2,40,7419,Xavier Chavalerin,4/3/2003,Karim Abed,Match Report,,5,3,13.4,0,0,0,2023,Troyes
38,6/3/2023,21:00,Ligue 1,Matchweek 38,Sat,Home,D,1,1,Lille,0.4,1.4,34,11006,Xavier Chavalerin,4/3/2003,Jeremy Stinat,Match Report,,8,3,25.1,0,0,0,2023,Troyes
0,8/7/2022,15:00,Ligue 1,Matchweek 1,Sun,Home,D,0,0,Nantes,1.5,1.5,49,12000,Pierrick Capelle,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,16,6,15.6,0,0,0,2023,Angers
1,8/14/2022,15:00,Ligue 1,Matchweek 2,Sun,Away,D,2,2,Auxerre,1.4,0.8,60,15577,Souleyman Doumbia,4-2-3-1,Ruddy Buquet,Match Report,,11,2,15.7,1,0,0,2023,Angers
2,8/21/2022,15:00,Ligue 1,Matchweek 3,Sun,Home,L,1,3,Brest,0.6,1.8,50,8735,Pierrick Capelle,4-2-3-1,Jérôme Brisard,Match Report,,7,5,19.3,2,0,0,2023,Angers
3,8/28/2022,15:00,Ligue 1,Matchweek 4,Sun,Away,L,1,3,Troyes,0.7,1.9,51,6673,Pierrick Capelle,3-1-4-2,Stéphanie Frappart,Match Report,,7,1,17.4,0,0,0,2023,Angers
4,8/31/2022,19:00,Ligue 1,Matchweek 5,Wed,Home,L,2,4,Reims,1.7,2.3,57,6500,Nabil Bentaleb,3-1-4-2,Jérémie Pignard,Match Report,,9,2,18.3,1,1,1,2023,Angers
5,9/3/2022,19:00,Ligue 1,Matchweek 6,Sat,Away,L,0,5,Lyon,1,1.4,36,39586,Nabil Bentaleb,3-1-4-2,Thomas Léonard,Match Report,,8,2,17.8,1,0,0,2023,Angers
6,9/11/2022,15:00,Ligue 1,Matchweek 7,Sun,Home,W,2,1,Montpellier,2.5,0.7,45,6165,Nabil Bentaleb,4-2-3-1,François Letexier,Match Report,,10,4,13.3,0,1,1,2023,Angers
7,9/18/2022,15:00,Ligue 1,Matchweek 8,Sun,Away,W,1,0,Nice,1.5,1.3,50,18545,Nabil Bentaleb,4-2-3-1,Bastien Dechepy,Match Report,,16,3,17.1,1,0,0,2023,Angers
8,9/30/2022,21:00,Ligue 1,Matchweek 9,Fri,Home,L,0,3,Marseille,1.2,1.6,43,19000,Nabil Bentaleb,4/2/2004,Johan Hamel,Match Report,,16,5,18.4,1,0,0,2023,Angers
9,10/9/2022,15:00,Ligue 1,Matchweek 10,Sun,Home,L,2,3,Strasbourg,2.1,2,54,8000,Nabil Bentaleb,4/2/2004,Clément Turpin,Match Report,,14,8,17.8,0,0,0,2023,Angers
10,10/16/2022,13:00,Ligue 1,Matchweek 11,Sun,Away,L,2,3,Toulouse,1.2,2.4,45,21141,Nabil Bentaleb,3/2/2005,Benoît Bastien,Match Report,,13,5,21.5,1,0,0,2023,Angers
11,10/23/2022,13:00,Ligue 1,Matchweek 12,Sun,Home,L,1,2,Rennes,1.2,2.2,30,11500,Pierrick Capelle,3/2/2005,Pierre Gaillouste,Match Report,,7,2,14.8,1,0,0,2023,Angers
12,10/30/2022,15:00,Ligue 1,Matchweek 13,Sun,Away,L,0,2,Monaco,0.6,1.8,48,7069,Pierrick Capelle,3/2/2005,Stéphanie Frappart,Match Report,,7,3,19.4,0,0,0,2023,Angers
13,11/5/2022,21:00,Ligue 1,Matchweek 14,Sat,Home,L,1,2,Lens,0.5,1.8,44,11585,Nabil Bentaleb,3/2/2005,Thomas Léonard,Match Report,,6,3,16.7,2,0,0,2023,Angers
14,11/13/2022,15:00,Ligue 1,Matchweek 15,Sun,Away,L,0,1,Lille,0.6,0.6,42,36360,Pierrick Capelle,3/2/2005,Miguel Nogueira,Match Report,,8,2,12.5,0,0,0,2023,Angers
15,12/28/2022,15:00,Ligue 1,Matchweek 16,Wed,Away,L,0,1,Ajaccio,1.9,1.6,54,7088,Paul Bernardoni,4-2-3-1,Jeremy Stinat,Match Report,,14,4,15,0,0,0,2023,Angers
16,1/1/2023,15:00,Ligue 1,Matchweek 17,Sun,Home,L,1,2,Lorient,2.3,0.6,42,6000,Pierrick Capelle,4-2-3-1,Florent Batta,Match Report,,15,6,13.1,0,0,0,2023,Angers
18,1/11/2023,21:00,Ligue 1,Matchweek 18,Wed,Away,L,0,2,Paris S-G,0.5,1.3,34,47000,Pierrick Capelle,4-2-3-1,Eric Wattellier,Match Report,,6,0,17.5,0,0,0,2023,Angers
19,1/15/2023,15:00,Ligue 1,Matchweek 19,Sun,Home,L,1,2,Clermont Foot,0.6,1.7,58,12160,Pierrick Capelle,4-2-3-1,Mathieu Vernice,Match Report,,5,1,15.5,0,0,0,2023,Angers
21,1/29/2023,15:00,Ligue 1,Matchweek 20,Sun,Away,L,0,4,Brest,0.8,1.6,59,12629,Nabil Bentaleb,4/2/2004,Marc Bollengier,Match Report,,8,1,10.5,0,0,0,2023,Angers
22,2/1/2023,19:00,Ligue 1,Matchweek 21,Wed,Home,L,1,2,Ajaccio,0.4,1.4,40,7255,Nabil Bentaleb,4/2/2004,Bastien Dechepy,Match Report,,6,2,18.3,1,0,0,2023,Angers
23,2/5/2023,15:00,Ligue 1,Matchweek 22,Sun,Away,D,0,0,Lorient,0.7,1,44,12705,Nabil Bentaleb,4/2/2004,Willy Delajod,Match Report,,12,5,20.6,1,0,0,2023,Angers
25,2/12/2023,15:00,Ligue 1,Matchweek 23,Sun,Home,D,1,1,Auxerre,0.9,2.6,50,7873,Nabil Bentaleb,4/2/2004,Thomas Léonard,Match Report,,10,5,18.5,0,0,0,2023,Angers
26,2/18/2023,21:00,Ligue 1,Matchweek 24,Sat,Away,L,1,2,Strasbourg,1.2,1.7,64,25062,Pierrick Capelle,4/2/2004,François Letexier,Match Report,,9,2,22.2,0,1,1,2023,Angers
27,2/25/2023,17:00,Ligue 1,Matchweek 25,Sat,Home,L,1,3,Lyon,1.5,1.1,43,12031,Nabil Bentaleb,3/3/2004,Florent Batta,Match Report,,11,2,17.6,0,0,0,2023,Angers
28,3/5/2023,15:00,Ligue 1,Matchweek 26,Sun,Away,L,0,5,Montpellier,0.9,2.9,40,11664,Nabil Bentaleb,3/3/2004,Benoît Millot,Match Report,,10,4,16.4,0,0,0,2023,Angers
29,3/12/2023,15:00,Ligue 1,Matchweek 27,Sun,Home,L,0,2,Toulouse,1.7,1.6,40,6487,Pierrick Capelle,3/2/2005,Pierre Gaillouste,Match Report,,13,2,16.5,1,0,0,2023,Angers
30,3/18/2023,21:00,Ligue 1,Matchweek 28,Sat,Away,L,0,3,Lens,0.5,1.6,54,37410,Pierrick Capelle,3/2/2005,Bastien Dechepy,Match Report,,3,1,11.3,0,0,0,2023,Angers
31,4/2/2023,15:00,Ligue 1,Matchweek 29,Sun,Home,D,1,1,Nice,0.9,1.5,37,6649,Pierrick Capelle,3/2/2005,Eric Wattellier,Match Report,,13,6,23.4,1,0,0,2023,Angers
32,4/8/2023,17:00,Ligue 1,Matchweek 30,Sat,Home,W,1,0,Lille,1,1.4,34,7469,Pierrick Capelle,3/2/2005,Mathieu Vernice,Match Report,,7,5,18.3,0,0,0,2023,Angers
33,4/16/2023,15:00,Ligue 1,Matchweek 31,Sun,Away,L,1,2,Clermont Foot,0.3,2.1,47,10589,Nabil Bentaleb,3/2/2005,Thomas Léonard,Match Report,,7,4,20.5,0,0,0,2023,Angers
34,4/21/2023,21:00,Ligue 1,Matchweek 32,Fri,Home,L,1,2,Paris S-G,1.8,1.6,35,16914,Himad Abdelli,3/2/2005,Eric Wattellier,Match Report,,16,4,18.4,0,0,0,2023,Angers
35,4/30/2023,15:00,Ligue 1,Matchweek 33,Sun,Away,L,2,4,Rennes,1,2.1,36,28028,Nabil Bentaleb,3/2/2005,Florent Batta,Match Report,,3,1,17.8,0,1,1,2023,Angers
36,5/7/2023,13:00,Ligue 1,Matchweek 34,Sun,Home,L,1,2,Monaco,1,2.1,60,9223,Nabil Bentaleb,3/2/2005,Jeremy Stinat,Match Report,,10,3,19.8,1,0,0,2023,Angers
37,5/14/2023,20:45,Ligue 1,Matchweek 35,Sun,Away,L,1,3,Marseille,0.3,2.7,38,63329,Nabil Bentaleb,3/2/2005,Benoît Millot,Match Report,,4,1,19.4,0,0,0,2023,Angers
38,5/21/2023,15:00,Ligue 1,Matchweek 36,Sun,Away,D,2,2,Reims,1.2,1.5,43,11242,Himad Abdelli,3/2/2005,Florent Batta,Match Report,,7,3,14.1,0,0,0,2023,Angers
39,5/27/2023,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,1,Troyes,1.2,0.3,60,7419,Himad Abdelli,3/2/2005,Karim Abed,Match Report,,18,5,20,1,0,0,2023,Angers
40,6/3/2023,21:00,Ligue 1,Matchweek 38,Sat,Away,L,0,1,Nantes,0.3,1.1,66,27650,Pierrick Capelle,3/2/2005,Clément Turpin,Match Report,,5,1,20.5,1,0,0,2023,Angers
1,8/7/2021,21:00,Ligue 1,Matchweek 1,Sat,Away,W,2,1,Troyes,1.2,0.9,56,15248,Presnel Kimpembe,4/2/2004,Amaury Delerue,Match Report,,12,2,16.2,0,0,0,2022,Paris Saint Germain
2,8/14/2021,21:00,Ligue 1,Matchweek 2,Sat,Home,W,4,2,Strasbourg,3.1,0.7,65,46962,Presnel Kimpembe,3/3/2004,Willy Delajod,Match Report,,11,5,15.4,1,0,0,2022,Paris Saint Germain
3,8/20/2021,21:00,Ligue 1,Matchweek 3,Fri,Away,W,4,2,Brest,0.9,1.1,74,14586,Presnel Kimpembe,4-1-2-1-2◆,Eric Wattellier,Match Report,,16,8,21.1,0,0,0,2022,Paris Saint Germain
4,8/29/2021,20:45,Ligue 1,Matchweek 4,Sun,Away,W,2,0,Reims,1.3,0.7,67,20525,Marquinhos,3/3/2004,François Letexier,Match Report,,12,3,17.1,1,0,0,2022,Paris Saint Germain
5,9/11/2021,17:00,Ligue 1,Matchweek 5,Sat,Home,W,4,0,Clermont Foot,2.5,0.9,51,47329,Marquinhos,3/3/2004,Mikael Lesage,Match Report,,13,7,14.7,0,0,0,2022,Paris Saint Germain
7,9/19/2021,20:45,Ligue 1,Matchweek 6,Sun,Home,W,2,1,Lyon,2,0.8,54,47611,Marquinhos,4-2-3-1,Clément Turpin,Match Report,,13,4,20.6,2,1,1,2022,Paris Saint Germain
8,9/22/2021,21:00,Ligue 1,Matchweek 7,Wed,Away,W,2,1,Metz,1.3,0.9,74,2661,Marquinhos,4-1-2-1-2◆,Jérémie Pignard,Match Report,,15,4,20,0,0,0,2022,Paris Saint Germain
9,9/25/2021,21:00,Ligue 1,Matchweek 8,Sat,Home,W,2,0,Montpellier,2.1,0.2,53,47408,Marquinhos,3/3/2004,Antony Gautier,Match Report,,16,5,15.3,0,0,0,2022,Paris Saint Germain
11,10/3/2021,13:00,Ligue 1,Matchweek 9,Sun,Away,L,0,2,Rennes,1.5,1,67,28092,Marquinhos,4-2-3-1,Ruddy Buquet,Match Report,,13,0,19.9,2,0,0,2022,Paris Saint Germain
12,10/15/2021,21:00,Ligue 1,Matchweek 10,Fri,Home,W,2,1,Angers,2,1.1,72,47646,Presnel Kimpembe,3/3/2004,Bastien Dechepy,Match Report,,12,1,20.4,2,1,1,2022,Paris Saint Germain
14,10/24/2021,20:45,Ligue 1,Matchweek 11,Sun,Away,D,0,0,Marseille,1.4,1.1,52,65121,Marquinhos,4-2-3-1,Benoît Bastien,Match Report,,10,4,12.4,0,0,0,2022,Paris Saint Germain
15,10/29/2021,21:00,Ligue 1,Matchweek 12,Fri,Home,W,2,1,Lille,2.1,1.8,59,47874,Marquinhos,3/3/2004,Amaury Delerue,Match Report,,17,6,15,1,0,0,2022,Paris Saint Germain
17,11/6/2021,21:00,Ligue 1,Matchweek 13,Sat,Away,W,3,2,Bordeaux,1.5,1.4,56,41172,Marquinhos,3/3/2004,Ruddy Buquet,Match Report,,9,5,12.9,0,0,0,2022,Paris Saint Germain
18,11/20/2021,17:00,Ligue 1,Matchweek 14,Sat,Home,W,3,1,Nantes,1.8,1.4,66,47777,Marco Verratti,3/3/2004,Jeremy Stinat,Match Report,,14,7,19.1,1,0,0,2022,Paris Saint Germain
20,11/28/2021,13:00,Ligue 1,Matchweek 15,Sun,Away,W,3,1,Saint-Étienne,2.7,0.8,71,24586,Marquinhos,4-2-3-1,Jérôme Brisard,Match Report,,15,8,13.7,0,0,0,2022,Paris Saint Germain
21,12/1/2021,21:00,Ligue 1,Matchweek 16,Wed,Home,D,0,0,Nice,1.9,1,70,47502,Marquinhos,3/3/2004,Clément Turpin,Match Report,,22,5,19.6,1,0,0,2022,Paris Saint Germain
22,12/4/2021,21:00,Ligue 1,Matchweek 17,Sat,Away,D,1,1,Lens,1.9,1.1,64,36685,Marquinhos,3/3/2004,François Letexier,Match Report,,13,6,15.6,1,0,0,2022,Paris Saint Germain
24,12/12/2021,20:45,Ligue 1,Matchweek 18,Sun,Home,W,2,0,Monaco,1.6,0.7,53,41154,Marquinhos,3/3/2004,Benoît Bastien,Match Report,,8,1,20.8,2,1,1,2022,Paris Saint Germain
26,12/22/2021,21:00,Ligue 1,Matchweek 19,Wed,Away,D,1,1,Lorient,1.8,1.6,77,16603,Marquinhos,4-2-2-2,Jérémie Pignard,Match Report,,17,4,16.2,0,0,0,2022,Paris Saint Germain
28,1/9/2022,20:45,Ligue 1,Matchweek 20,Sun,Away,D,1,1,Lyon,1,1,68,4977,Marquinhos,3/3/2004,François Letexier,Match Report,,15,3,19.1,1,0,0,2022,Paris Saint Germain
29,1/15/2022,21:00,Ligue 1,Matchweek 21,Sat,Home,W,2,0,Brest,2,1,68,4925,Marquinhos,3/3/2004,Mikael Lesage,Match Report,,20,8,15.7,0,0,0,2022,Paris Saint Germain
30,1/23/2022,20:45,Ligue 1,Matchweek 22,Sun,Home,W,4,0,Reims,2.3,0.5,68,5000,Marquinhos,3/3/2004,Eric Wattellier,Match Report,,22,8,14.8,0,0,0,2022,Paris Saint Germain
32,2/6/2022,20:45,Ligue 1,Matchweek 23,Sun,Away,W,5,1,Lille,3.9,1,59,48437,Marquinhos,3/3/2004,François Letexier,Match Report,,18,7,17.8,2,0,0,2022,Paris Saint Germain
33,2/11/2022,21:00,Ligue 1,Matchweek 24,Fri,Home,W,1,0,Rennes,0.9,0.8,63,47000,Marquinhos,3/3/2004,Benoît Bastien,Match Report,,12,1,16.9,0,0,0,2022,Paris Saint Germain
35,2/19/2022,21:00,Ligue 1,Matchweek 25,Sat,Away,L,1,3,Nantes,3.4,2.4,72,35500,Marquinhos,3/3/2004,Mikael Lesage,Match Report,,15,8,13.2,1,0,1,2022,Paris Saint Germain
36,2/26/2022,21:00,Ligue 1,Matchweek 26,Sat,Home,W,3,1,Saint-Étienne,2.1,0.8,62,45000,Marquinhos,3/3/2004,Pierre Gaillouste,Match Report,,21,8,18.2,3,0,0,2022,Paris Saint Germain
37,3/5/2022,21:00,Ligue 1,Matchweek 27,Sat,Away,L,0,1,Nice,0.4,0.9,57,31949,Marquinhos,3/3/2004,Willy Delajod,Match Report,,8,2,17.9,0,0,0,2022,Paris Saint Germain
39,3/13/2022,13:00,Ligue 1,Matchweek 28,Sun,Home,W,3,0,Bordeaux,1.2,0.8,57,44000,Marquinhos,3/3/2004,François Letexier,Match Report,,12,4,20.6,1,0,0,2022,Paris Saint Germain
40,3/20/2022,13:00,Ligue 1,Matchweek 29,Sun,Away,L,0,3,Monaco,1,1.9,60,16642,Marquinhos,3/3/2004,Benoît Bastien,Match Report,,13,5,17.1,1,0,0,2022,Paris Saint Germain
41,4/3/2022,20:45,Ligue 1,Matchweek 30,Sun,Home,W,5,1,Lorient,1.9,0.6,66,40000,Marquinhos,4/2/2004,Hakim Ben El Hadj Salem,Match Report,,15,7,16.8,1,0,0,2022,Paris Saint Germain
42,4/9/2022,21:00,Ligue 1,Matchweek 31,Sat,Away,W,6,1,Clermont Foot,3.7,1.4,63,12264,Presnel Kimpembe,3/3/2004,Eric Wattellier,Match Report,,16,9,17.7,0,1,1,2022,Paris Saint Germain
43,4/17/2022,20:45,Ligue 1,Matchweek 32,Sun,Home,W,2,1,Marseille,1.5,0.9,43,46000,Marquinhos,3/3/2004,François Letexier,Match Report,,6,2,19.7,2,1,1,2022,Paris Saint Germain
44,4/20/2022,21:00,Ligue 1,Matchweek 33,Wed,Away,W,3,0,Angers,1.7,0.8,58,13000,Marquinhos,5/2/2003,Johan Hamel,Match Report,,15,8,17.6,0,0,0,2022,Paris Saint Germain
45,4/23/2022,21:00,Ligue 1,Matchweek 34,Sat,Home,D,1,1,Lens,2,0.8,66,47000,Marquinhos,4/3/2003,Amaury Delerue,Match Report,,18,6,16.5,1,0,0,2022,Paris Saint Germain
46,4/29/2022,21:00,Ligue 1,Matchweek 35,Fri,Away,D,3,3,Strasbourg,2.3,1.7,56,26052,Marquinhos,4/3/2003,Ruddy Buquet,Match Report,,14,6,21.2,2,0,0,2022,Paris Saint Germain
47,5/8/2022,20:45,Ligue 1,Matchweek 36,Sun,Home,D,2,2,Troyes,2.4,1.7,63,45000,Marquinhos,4-2-3-1,Jérôme Brisard,Match Report,,16,6,18.1,0,1,1,2022,Paris Saint Germain
48,5/14/2022,21:00,Ligue 1,Matchweek 37,Sat,Away,W,4,0,Montpellier,2.7,0.7,69,19586,Marquinhos,3/3/2004,Jeremy Stinat,Match Report,,14,8,17.9,0,1,1,2022,Paris Saint Germain
49,5/21/2022,21:00,Ligue 1,Matchweek 38,Sat,Home,W,5,0,Metz,5.4,0.7,75,45000,Marquinhos,4-2-3-1,Antony Gautier,Match Report,,27,11,16.1,0,0,0,2022,Paris Saint Germain
0,8/8/2021,20:45,Ligue 1,Matchweek 1,Sun,Away,W,3,2,Montpellier,1.9,0.6,59,13500,Steve Mandanda,3-2-4-1,Jérémie Pignard,Match Report,,21,7,17.6,2,0,0,2022,Marseille
1,8/15/2021,20:45,Ligue 1,Matchweek 2,Sun,Home,D,2,2,Bordeaux,1,0.3,66,50000,Steve Mandanda,3-2-4-1,Ruddy Buquet,Match Report,,10,2,17.3,2,0,0,2022,Marseille
2,8/28/2021,21:00,Ligue 1,Matchweek 4,Sat,Home,W,3,1,Saint-Étienne,2.1,1.1,64,55039,Steve Mandanda,3-4-3◆,Benoît Millot,Match Report,,19,5,17.2,0,0,0,2022,Marseille
3,9/11/2021,21:00,Ligue 1,Matchweek 5,Sat,Away,W,2,0,Monaco,1.6,0.8,49,8615,Boubacar Kamara,3-3-3-1,Stéphanie Frappart,Match Report,,13,5,14.9,0,0,0,2022,Marseille
5,9/19/2021,17:00,Ligue 1,Matchweek 6,Sun,Home,W,2,0,Rennes,2.1,1.5,64,54188,Dimitri Payet,3-3-3-1,Willy Delajod,Match Report,,17,6,18.2,1,0,0,2022,Marseille
6,9/22/2021,21:00,Ligue 1,Matchweek 7,Wed,Away,D,0,0,Angers,0.7,0.4,60,12458,Boubacar Kamara,4/3/2003,Ruddy Buquet,Match Report,,6,1,15.6,0,0,0,2022,Marseille
7,9/26/2021,20:45,Ligue 1,Matchweek 8,Sun,Home,L,2,3,Lens,2,2,61,50001,Dimitri Payet,3-4-3◆,Mikael Lesage,Match Report,,12,3,18.6,1,1,1,2022,Marseille
9,10/3/2021,17:00,Ligue 1,Matchweek 9,Sun,Away,L,0,2,Lille,0.4,3,63,44839,Mattéo Guendouzi,4-2-3-1,Jérémie Pignard,Match Report,,10,3,20.6,1,0,0,2022,Marseille
10,10/17/2021,20:45,Ligue 1,Matchweek 10,Sun,Home,W,4,1,Lorient,1.8,2.2,63,57349,Dimitri Payet,3-2-4-1,Antony Gautier,Match Report,,16,5,14.4,0,0,0,2022,Marseille
12,10/24/2021,20:45,Ligue 1,Matchweek 11,Sun,Home,D,0,0,Paris S-G,1.1,1.4,48,65121,Dimitri Payet,4-2-3-1,Benoît Bastien,Match Report,,15,1,18.2,2,0,0,2022,Marseille
13,10/27/2021,21:00,Ligue 1,Matchweek 3,Wed,Away,D,1,1,Nice,0.5,1.5,55,,Dimitri Payet,3-5-1-1,Clément Turpin,Match Report,,7,1,16.5,0,0,0,2022,Marseille
14,10/31/2021,20:45,Ligue 1,Matchweek 12,Sun,Away,W,1,0,Clermont Foot,1,0.7,58,12240,Boubacar Kamara,4-1-4-1,Benoît Millot,Match Report,,9,4,17.2,0,0,0,2022,Marseille
16,11/7/2021,13:00,Ligue 1,Matchweek 13,Sun,Home,D,0,0,Metz,1.3,1.2,75,61539,Steve Mandanda,4-4-1-1,Jérôme Brisard,Match Report,,15,4,17.7,1,0,0,2022,Marseille
18,11/28/2021,20:45,Ligue 1,Matchweek 15,Sun,Home,W,1,0,Troyes,1.6,0.1,56,,Dimitri Payet,4-1-4-1,Jérémie Pignard,Match Report,,14,4,18.4,3,0,0,2022,Marseille
19,12/1/2021,21:00,Ligue 1,Matchweek 16,Wed,Away,W,1,0,Nantes,1.1,0.1,70,34018,Dimitri Payet,3-2-4-1,Eric Wattellier,Match Report,,15,5,17.2,2,0,0,2022,Marseille
20,12/4/2021,17:00,Ligue 1,Matchweek 17,Sat,Home,L,1,2,Brest,1.5,1.3,74,54413,Dimitri Payet,3-2-4-1,Antony Gautier,Match Report,,16,4,17.3,1,0,0,2022,Marseille
22,12/12/2021,17:00,Ligue 1,Matchweek 18,Sun,Away,W,2,0,Strasbourg,0.7,1.9,50,26028,Dimitri Payet,4-1-4-1,Mikael Lesage,Match Report,,8,3,16.8,0,0,0,2022,Marseille
24,12/22/2021,21:00,Ligue 1,Matchweek 19,Wed,Home,D,1,1,Reims,1.4,0.8,73,55908,Dimitri Payet,4/3/2003,François Letexier,Match Report,,13,5,19.4,0,1,1,2022,Marseille
26,1/7/2022,21:00,Ligue 1,Matchweek 20,Fri,Away,W,1,0,Bordeaux,2.4,0.5,66,,Dimitri Payet,3/3/2004,Eric Wattellier,Match Report,,18,6,17.7,0,0,0,2022,Marseille
27,1/16/2022,20:45,Ligue 1,Matchweek 21,Sun,Home,D,1,1,Lille,1.7,0.7,77,5034,Dimitri Payet,3/3/2004,Amaury Delerue,Match Report,,22,6,16.5,2,0,0,2022,Marseille
28,1/22/2022,21:00,Ligue 1,Matchweek 22,Sat,Away,W,2,0,Lens,1.3,0.8,52,5000,Dimitri Payet,4-1-4-1,Stéphanie Frappart,Match Report,,9,6,19.6,1,1,1,2022,Marseille
30,2/1/2022,21:00,Ligue 1,Matchweek 14,Tue,Away,L,1,2,Lyon,0.4,1.2,45,,Dimitri Payet,3/3/2004,Benoît Bastien,Match Report,,9,1,20.9,0,0,0,2022,Marseille
31,2/4/2022,21:00,Ligue 1,Matchweek 23,Fri,Home,W,5,2,Angers,2.6,0.4,60,60000,Dimitri Payet,4-1-2-1-2◆,Jeremy Stinat,Match Report,,18,8,16.7,1,0,0,2022,Marseille
33,2/13/2022,20:45,Ligue 1,Matchweek 24,Sun,Away,W,2,1,Metz,1.2,0.9,55,25482,Dimitri Payet,3/3/2004,Eric Wattellier,Match Report,,13,5,15.5,0,0,0,2022,Marseille
35,2/20/2022,20:45,Ligue 1,Matchweek 25,Sun,Home,L,0,2,Clermont Foot,1.2,0.8,64,53840,Dimitri Payet,3/3/2004,Willy Delajod,Match Report,,18,4,18.5,0,0,0,2022,Marseille
37,2/27/2022,17:05,Ligue 1,Matchweek 26,Sun,Away,D,1,1,Troyes,1.2,1.5,58,16871,Dimitri Payet,3/3/2004,François Letexier,Match Report,,7,2,24.7,1,1,1,2022,Marseille
38,3/6/2022,20:45,Ligue 1,Matchweek 27,Sun,Home,L,0,1,Monaco,0.7,0.8,67,56510,Dimitri Payet,4-2-3-1,Antony Gautier,Match Report,,14,2,14.7,0,0,0,2022,Marseille
40,3/13/2022,20:45,Ligue 1,Matchweek 28,Sun,Away,W,4,1,Brest,2.2,0.6,52,14611,Boubacar Kamara,4-3-2-1,Ruddy Buquet,Match Report,,13,7,18.6,1,0,0,2022,Marseille
42,3/20/2022,20:45,Ligue 1,Matchweek 29,Sun,Home,W,2,1,Nice,1.5,1.4,56,64722,Dimitri Payet,3-2-4-1,Jérôme Brisard,Match Report,,12,5,20,0,1,1,2022,Marseille
43,4/3/2022,15:00,Ligue 1,Matchweek 30,Sun,Away,W,4,2,Saint-Étienne,3.9,0.2,70,41278,Dimitri Payet,4-2-3-1,Clément Turpin,Match Report,,13,7,17.9,1,2,2,2022,Marseille
45,4/10/2022,21:00,Ligue 1,Matchweek 31,Sun,Home,W,2,0,Montpellier,3.4,0.4,61,51131,Steve Mandanda,3/3/2004,Jeremy Stinat,Match Report,,10,4,17.7,2,1,1,2022,Marseille
47,4/17/2022,20:45,Ligue 1,Matchweek 32,Sun,Away,L,1,2,Paris S-G,0.9,1.5,57,46000,Dimitri Payet,3/3/2004,François Letexier,Match Report,,3,1,12.7,0,0,0,2022,Marseille
48,4/20/2022,21:00,Ligue 1,Matchweek 33,Wed,Home,W,3,2,Nantes,3.3,0.6,76,55890,Dimitri Payet,3/3/2004,Ruddy Buquet,Match Report,,17,3,19,1,2,2,2022,Marseille
49,4/24/2022,20:45,Ligue 1,Matchweek 34,Sun,Away,W,1,0,Reims,0.6,0.6,70,20835,Steve Mandanda,3/3/2004,Jérôme Brisard,Match Report,,14,3,24.9,1,0,0,2022,Marseille
51,5/1/2022,20:45,Ligue 1,Matchweek 35,Sun,Home,L,0,3,Lyon,1.4,2.4,62,68784,Dimitri Payet,3/3/2004,Antony Gautier,Match Report,,9,2,21.8,1,0,0,2022,Marseille
